# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.69441844       9.2604401
3.000       6.5345127      0.67835640       9.5888784
3.000       6.6601764      0.65095943       9.7427460
3.000       6.7858401      0.64277193       10.175085
3.000       6.9115038      0.62692963       10.485924
3.000       7.0371675      0.61806883       10.911910
3.000       7.1628313      0.59330669       11.045965
3.000       7.2884950      0.58132028       11.402480
3.000       7.4141587      0.55083476       11.373057
3.000       7.5398224      0.54113473       11.750572
3.000       7.6654861      0.52669364       12.018422
3.000       7.7911498      0.51685778       12.383573
3.000       7.9168135      0.50621534       12.724971
3.000       8.0424772      0.48777952       12.854741
3.000       8.2938046      0.47494118       13.726869
3.000       8.5451320      0.44046313       13.923107
3.000       8.7964594      0.41699539       14.378885
3.000       9.0477868      0.40881651       15.340014
3.000       9.2991143      0.38415631       15.649591
3.000       9.5504417      0.37539167       16.566290
3.000       9.8017691      0.35832880       17.094853
3.000       10.053096      0.34351422       17.681314
3.000       10.304424      0.32928525       18.252136
3.000       10.555751      0.31545921       18.796670
3.000       10.807079      0.30970083       19.803300
3.000       11.058406      0.30037759       20.578579
3.000       11.309734      0.28425447       20.832178
3.000       11.561061      0.27763011       21.733511
3.000       11.812388      0.27404933       22.882958
3.000       12.063716      0.25756230       22.908457
3.000       12.315043      0.25019851       23.673517
3.000       12.566371      0.24032889       24.160495
3.000       12.817698      0.23048676       24.589311
3.000       13.069025      0.22251526       25.162841
3.000       13.320353      0.21927593       26.254781
3.000       13.571680      0.21135195       26.765624
3.000       13.823008      0.20770491       27.792311
3.000       14.074335      0.19620990       27.712444
3.000       14.325663      0.19138612       28.505249
3.000       14.576990      0.18342587       28.782890
3.000       14.828317      0.17930410       29.616661
3.000       15.079645      0.17102380       29.709829
3.000       15.330972      0.16931110       30.907564
3.000       15.582300      0.16235671       31.119683
3.000       15.833627      0.15536502       31.243863
3.000       16.084954      0.15188285       32.021267
3.000       16.587609      0.13770020       31.838764
3.000       17.090264      0.13445659       34.001547
3.000       17.592919      0.12651653       34.900466
3.000       18.095574      0.12199013       36.619468
3.000       18.598229      0.11380396       37.088764
3.000       19.100883      0.11004894       38.852278
3.000       19.603538      0.10075203       38.452753
3.000       20.106193      0.10091437       41.553999
3.000       20.608848     0.094729444       42.006489
3.000       21.111503     0.090667004       43.219223
3.000       21.614157     0.085308308       43.639174
3.000       22.116812     0.081357350       44.589710
3.000       22.619467     0.079098379       46.375110
3.000       23.122122     0.074857860       46.880338
3.000       23.624777     0.070768608       47.273097
3.000       24.127432     0.068011559       48.393415
3.000       24.630086     0.065521317       49.596460
3.000       25.132741     0.063198386       50.827158
3.000       25.635396     0.061851384       52.788555
3.000       26.138051     0.058362379       52.798653
3.000       26.640706     0.056377209       54.002144
3.000       27.143361     0.055264816       55.989918
3.000       27.646015     0.052395360       56.086808
3.000       28.148670     0.050914014       57.528261
3.000       28.651325     0.049431188       58.898663
3.000       29.153980     0.047293139       59.369303
3.000       29.656635     0.046121924       60.945729
3.000       30.159289     0.044454424       61.780094
3.000       30.661944     0.043592516       63.662144
3.000       31.164599     0.041792610       64.084704
3.000       31.667254     0.040652801       65.402138
3.000       32.169909     0.039977614       67.427431
3.000       33.175218     0.036937729       68.325343
3.000       34.180528     0.036047742       72.926376
3.000       35.185838     0.036060935       79.581280
3.000       36.191147     0.033566203       80.608256
3.000       37.196457     0.030967614       80.738880
3.000       38.201767     0.030310045       85.606586
3.000       39.207076     0.028568517       87.227079
3.000       40.212386     0.027459945       90.458513
3.000       41.217696     0.027769027       98.510391
3.000       42.223005     0.027086263       103.29202
3.000       43.228315     0.025360530       103.78474
3.000       44.233625     0.024489858       107.37770
3.000       45.238934     0.024491302       114.87333
