# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       27.143361     0.046579553       47.190700
3.000       27.646015     0.043825080       46.912720
3.000       28.148670     0.043208424       48.821636
3.000       28.651325     0.040764937       48.572579
3.000       29.153980     0.038644638       48.512432
3.000       29.656635     0.037604846       49.691222
3.000       30.159289     0.035715482       49.635236
3.000       30.661944     0.034572974       50.490081
3.000       31.164599     0.033678118       51.641959
3.000       31.667254     0.032326960       52.007543
3.000       32.169909     0.030356398       51.200003
3.000       33.175218     0.028710344       53.106787
3.000       34.180528     0.026539768       53.691272
3.000       35.185838     0.025231696       55.682714
3.000       36.191147     0.023023396       55.290013
3.000       37.196457     0.021092193       54.991647
3.000       38.201767     0.020462699       57.794101
3.000       39.207076     0.018834044       57.505212
3.000       40.212386     0.018553638       61.119369
3.000       41.217696     0.017155612       60.859392
3.000       42.223005     0.015966561       60.887629
3.000       43.228315     0.014993099       61.357351
3.000       44.233625     0.014539864       63.751174
3.000       45.238934     0.013137065       61.617729
3.000       46.244244     0.012519509       62.723545
3.000       47.249554     0.011795427       63.034315
3.000       48.254863     0.010893532       62.010070
3.000       49.260173     0.010667648       64.599140
3.000       50.265482    0.0099228543       63.843464
3.000       51.270792    0.0095085995       64.922748
3.000       52.276102    0.0086414514       62.541247
3.000       53.281411    0.0085075386       65.193058
3.000       54.286721    0.0081248692       65.851773
3.000       55.292031    0.0076620971       65.615362
3.000       56.297340    0.0073419936       66.366344
3.000       57.302650    0.0069368060       66.123210
3.000       58.307960    0.0065800673       66.082144
3.000       59.313269    0.0062432491       65.998871
3.000       60.318579    0.0058580427       65.129253
3.000       61.323889    0.0056079771       65.518741
3.000       62.329198    0.0053726768       65.907614
3.000       63.334508    0.0050666016       65.209102
3.000       64.339818    0.0048427560       65.343490
3.000       66.350437    0.0042547785       62.962009
3.000       68.361056    0.0038568403       62.420638
3.000       70.371675    0.0036817700       65.001081
3.000       72.382295    0.0033727655       64.796784
3.000       74.392914    0.0029785330       62.125141
