# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       27.143361     0.054436008       55.150236
3.000       27.646015     0.051281734       54.894723
3.000       28.148670     0.050831261       57.434758
3.000       28.651325     0.048627924       57.941551
3.000       29.153980     0.046927175       58.909891
3.000       29.656635     0.045769878       60.480534
3.000       30.159289     0.044274881       61.530575
3.000       30.661944     0.042876769       62.616873
3.000       31.164599     0.042127465       64.598171
3.000       31.667254     0.041220821       66.315968
3.000       32.169909     0.039351853       66.372005
3.000       33.175218     0.038142056       70.553041
3.000       34.180528     0.035493682       71.805485
3.000       35.185838     0.033934069       74.887595
3.000       36.191147     0.032381705       77.763720
3.000       37.196457     0.030274922       78.932893
3.000       38.201767     0.029672493       83.805910
3.000       39.207076     0.027244385       83.184160
3.000       40.212386     0.027294529       89.913601
3.000       41.217696     0.025860774       91.740878
3.000       42.223005     0.025346702       96.658297
3.000       43.228315     0.023952264       98.021593
3.000       44.233625     0.022763208       99.807071
3.000       45.238934     0.021641666       101.50748
3.000       46.244244     0.021083606       105.63022
3.000       47.249554     0.020330727       108.64664
3.000       48.254863     0.019191561       109.24557
3.000       49.260173     0.018858818       114.20169
3.000       50.265482     0.018111350       116.52810
3.000       51.270792     0.017747554       121.17662
3.000       52.276102     0.016824715       121.76643
3.000       53.281411     0.016601298       127.21534
3.000       54.286721     0.015836166       128.35156
3.000       55.292031     0.015305864       131.07375
3.000       56.297340     0.014852786       134.25851
3.000       57.302650     0.014464529       137.87917
3.000       58.307960     0.014128569       141.89006
3.000       59.313269     0.013538827       143.12216
3.000       60.318579     0.013170520       146.42879
3.000       61.323889     0.012733687       148.76936
3.000       62.329198     0.012459970       152.84874
3.000       63.334508     0.011957037       153.89164
3.000       64.339818     0.011830323       159.62699
3.000       66.350437     0.010986410       162.57637
3.000       68.361056     0.010624308       171.94803
3.000       70.371675    0.0096794426       170.88907
3.000       72.382295    0.0098171063       188.60395
3.000       74.392914    0.0089818554       187.34022
3.000       76.403533    0.0085676180       193.58455
3.000       78.414153    0.0083841840       204.79267
3.000       80.424772    0.0079084648       208.41643
3.000       82.435391    0.0076306424       216.55712
3.000       84.446011    0.0072414267       220.91836
3.000       86.456630    0.0068731275       225.01919
3.000       88.467249    0.0064816785       227.35542
3.000       90.477868    0.0062603344       234.90641
3.000       92.488488    0.0059238917       237.43263
3.000       94.499107    0.0057044364       243.87434
3.000       96.509726    0.0056890593       259.07408
3.000       98.520346    0.0054337190       263.23596
3.000       100.53096    0.0050434067       259.59350
3.000       102.54158    0.0048056792       262.49746
3.000       104.55220    0.0047287803       273.79088
3.000       106.56282    0.0045852195       281.09139
3.000       108.57344    0.0043113342       279.54567
3.000       110.58406    0.0042673142       292.34959
3.000       112.59468    0.0040774656       294.85886
3.000       114.60530    0.0040106994       305.84718
3.000       116.61592    0.0037528251       301.51026
3.000       118.62654    0.0036720678       310.54642
3.000       120.63716    0.0035551913       316.21068
3.000       122.64778    0.0034297667       320.56336
3.000       124.65840    0.0033131201       325.14124
3.000       126.66902    0.0031120363       320.42479
3.000       128.67964    0.0030938972       333.96857
3.000       132.70087    0.0029925908       354.27372
3.000       136.72211    0.0028803039       372.92788
3.000       140.74335    0.0026060554       368.07606
3.000       144.76459    0.0024819947       381.46802
3.000       148.78583    0.0023687297       395.24870
3.000       152.80707    0.0020922677       378.19679
3.000       156.82831    0.0019370552       378.51719
3.000       160.84954    0.0019847380       418.43975
3.000       164.87078    0.0019107953       433.82594
3.000       168.89202    0.0018056926       440.69840
3.000       172.91326    0.0016319289       427.42151
3.000       176.93450    0.0016145868       453.07408
3.000       180.95574    0.0015206521       456.47521
3.000       184.97698    0.0015168722       486.37616
3.000       188.99821    0.0013563594       463.89334
3.000       193.01945    0.0012969642       472.49963
3.000       197.04069    0.0012674208       491.20057
3.000       201.06193    0.0012643849       520.64189
3.000       205.08317    0.0010849606       474.10473
3.000       209.10441    0.0011559096       535.40655
3.000       213.12565   0.00096438369       472.96309
3.000       217.14688    0.0010071816       522.44292
3.000       221.16812   0.00097420648       533.93559
3.000       225.18936   0.00094258311       545.29752
3.000       229.21060   0.00082753088       504.84559
3.000       233.23184   0.00090348872       580.70625
3.000       237.25308   0.00087355855       591.01410
3.000       241.27432   0.00069414719       493.91829
3.000       245.29555   0.00073069693       546.35708
3.000       249.31679   0.00077149086       605.69730
3.000       253.33803   0.00066278786       545.94134
3.000       257.35927   0.00066723325       576.19222
3.000       265.40175   0.00058707738       556.00275
3.000       273.44422   0.00058353048       604.42173
3.000       281.48670   0.00057012085       644.18533
3.000       289.52918   0.00054555659       670.79078
3.000       297.57166   0.00039095814       521.88546
3.000       305.61413   0.00032569416       470.97790
3.000       313.65661   0.00030658756       479.27869
3.000       321.69909   0.00030054112       506.90159
3.000       329.74156   0.00044623676       810.50684
3.000       337.78404   0.00025801602       503.77234
3.000       345.82652   0.00027515454       576.52988
3.000       353.86900   0.00024210617       543.50515
3.000       361.91147   0.00025188534       604.89530
3.000       369.95395   0.00024966943       640.44027
3.000       377.99643   0.00025057529       685.60124
3.000       386.03891   0.00014831756       432.27096
3.000       394.08138   0.00021994087       681.92083
3.000       402.12386   0.00026660015       878.23386
3.000       410.16634   0.00017650803       617.04206
3.000       418.20881   0.00019675636       729.08570
3.000       426.25129   0.00023286607       913.63681
3.000       434.29377   0.00022476085       932.69943
3.000       442.33625   0.00014576472       639.11684
3.000       450.37872   0.00021044862       973.97977
3.000       458.42120   0.00022651921       1105.5270
3.000       466.46368   0.00012944306       665.58345
3.000       474.50615   0.00016397222       887.49536
3.000       482.54863   0.00016789291       955.70946
3.000       490.59111   0.00012368579       739.85922
3.000       498.63359   0.00017400838       1092.9115
3.000       506.67606   0.00014626226       963.81501
3.000       514.71854   0.00019790588       1367.2200
2.750     0.062831853       360.68773    0.0045325357
2.750      0.12566371       573.82812     0.057687494
2.750      0.18849556       217.43772     0.073774882
2.750      0.25132741       151.16592      0.12157485
2.750      0.31415927       96.945454      0.15228156
2.750      0.37699112       71.126636      0.19306159
2.750      0.43982297       52.181977      0.22491815
2.750      0.50265482       40.878355      0.26301059
2.750      0.56548668       31.500693      0.28857420
2.750      0.62831853       27.593548      0.34675075
2.750      0.69115038       23.738795      0.39705126
2.750      0.75398224       19.045692      0.41357128
2.750      0.81681409       17.229467      0.47567657
2.750      0.87964594       15.258401      0.52614202
2.750      0.94247780       13.375602      0.56727938
2.750       1.0053096       12.058920      0.62069497
2.750       1.0681415       10.628350      0.65617921
2.750       1.1309734       9.7031739      0.71111722
2.750       1.1938052       9.0236396      0.77777218
2.750       1.2566371       8.1625475      0.82058878
2.750       1.3194689       7.5752368      0.88158453
2.750       1.3823008       7.0148575      0.93863504
2.750       1.4451326       6.3977286      0.97818091
2.750       1.5079645       6.0008865       1.0424590
2.750       1.5707963       5.6350914       1.1064476
2.750       1.6336282       5.2400261       1.1573464
2.750       1.6964600       4.9837799       1.2327074
2.750       1.7592919       4.7967118       1.3232064
2.750       1.8221237       4.3693146       1.3391128
2.750       1.8849556       4.2366596       1.4374647
2.750       1.9477874       3.9857307       1.4921171
2.750       2.0106193       3.8395565       1.5810328
2.750       2.0734512       3.6225425       1.6359317
2.750       2.1362830       3.4942338       1.7258322
2.750       2.1991149       3.2711856       1.7624596
2.750       2.2619467       3.1141265       1.8258017
2.750       2.3247786       3.1214708       1.9868923
2.750       2.3876104       2.9416955       2.0284223
2.750       2.4504423       2.9032632       2.1641636
2.750       2.5132741       2.7337339       2.1985993
2.750       2.5761060       2.6567417       2.3009690
2.750       2.6389378       2.5291353       2.3546687
2.750       2.7017697       2.4843303       2.4821303
2.750       2.7646015       2.4410740       2.6130567
2.750       2.8274334       2.3369604       2.6760779
2.750       2.8902652       2.2608640       2.7653989
