# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1120.3674   0.00021998362
3.000     0.031415927       2658.7175    0.0041763037
3.000     0.047123890       1351.6776    0.0071658347
3.000     0.062831853       1148.4848     0.014432285
3.000     0.078539816       856.73418     0.021027420
3.000     0.094247780       641.93864     0.027225581
3.000      0.10995574       528.50360     0.035593604
3.000      0.12566371       480.61651     0.048316841
3.000      0.14137167       340.70862     0.048768629
3.000      0.15707963       292.96325     0.057523200
3.000      0.17278760       259.04978     0.067700390
3.000      0.18849556       236.92764     0.080387655
3.000      0.20420352       205.92236     0.088830775
3.000      0.21991149       182.42079     0.098285244
3.000      0.23561945       160.44142      0.10632127
3.000      0.25132741       148.59547      0.11950757
3.000      0.26703538       127.39472      0.12289327
3.000      0.28274334       114.45695      0.13106586
3.000      0.29845130       103.15420      0.13892411
3.000      0.31415927       93.366127      0.14665917
3.000      0.32986723       85.454651      0.15539015
3.000      0.34557519       77.064204      0.16112044
3.000      0.36128316       73.038626      0.17448817
3.000      0.37699112       66.127398      0.17949198
3.000      0.39269908       61.774738      0.18952252
3.000      0.40840704       58.617545      0.20229146
3.000      0.42411501       54.295938      0.20984012
3.000      0.43982297       51.156359      0.22049747
3.000      0.45553093       47.481315      0.22737705
3.000      0.47123890       44.926550      0.23817530
3.000      0.48694686       41.317541      0.24168485
3.000      0.50265482       39.663332      0.25519315
3.000      0.51836279       37.250207      0.26284541
3.000      0.53407075       35.448781      0.27356967
3.000      0.54977871       33.796651      0.28451665
3.000      0.56548668       32.459823      0.29736068
3.000      0.58119464       30.413217      0.30248052
3.000      0.59690260       28.852411      0.31085853
3.000      0.61261057       27.548842      0.32086849
3.000      0.62831853       26.221486      0.32950891
3.000      0.64402649       25.016341      0.33853630
3.000      0.65973446       23.638501      0.34387270
3.000      0.67544242       23.134229      0.36115221
3.000      0.69115038       22.171089      0.37083007
3.000      0.70685835       21.591084      0.38631528
3.000      0.72256631       20.145255      0.38501367
3.000      0.73827427       19.790427      0.40343970
3.000      0.75398224       18.981118      0.41216907
3.000      0.76969020       18.483583      0.42697682
3.000      0.78539816       17.665834      0.43358480
3.000      0.80110613       17.037016      0.44374548
3.000      0.81681409       16.482017      0.45504073
3.000      0.83252205       15.837246      0.46295327
3.000      0.84823002       15.373608      0.47532097
3.000      0.86393798       14.843031      0.48488701
3.000      0.87964594       14.335743      0.49432681
3.000      0.89535391       13.919279      0.50614063
3.000      0.91106187       13.628296      0.52210210
3.000      0.92676983       13.048319      0.52618744
3.000      0.94247780       12.609724      0.53479732
3.000      0.95818576       12.265226      0.54663186
3.000      0.97389372       12.080454      0.56531202
3.000      0.98960169       11.709451      0.57489437
3.000       1.0053096       11.342821      0.58383602
3.000       1.0367256       10.969469      0.61922334
3.000       1.0681415       10.061878      0.62120607
3.000       1.0995574       9.7651111      0.65765965
3.000       1.1309734       9.0579300      0.66382918
3.000       1.1623893       8.6934385      0.69169818
3.000       1.1938052       8.4441200      0.72782181
3.000       1.2252211       8.1013430      0.75486748
3.000       1.2566371       7.7694495      0.78107026
3.000       1.2880530       7.3768994      0.79862943
3.000       1.3194689       7.0554120      0.82108880
3.000       1.3508848       6.8818520      0.85946970
3.000       1.3823008       6.5988674      0.88297276
3.000       1.4137167       6.4455727      0.92261163
3.000       1.4451326       6.0705623      0.92815881
3.000       1.4765485       5.8456526      0.95333702
3.000       1.5079645       5.7713973       1.0025928
3.000       1.5393804       5.5141744       1.0190339
3.000       1.5707963       5.3717877       1.0547481
3.000       1.6022123       5.1269124       1.0682830
3.000       1.6336282       4.9388755       1.0908323
3.000       1.6650441       4.8005735       1.1226403
3.000       1.6964600       4.7286384       1.1695997
3.000       1.7278760       4.6230716       1.2081992
3.000       1.7592919       4.4082195       1.2160381
3.000       1.7907078       4.3634876       1.2693407
3.000       1.8221237       4.2101821       1.2903417
3.000       1.8535397       4.1061967       1.3246943
3.000       1.8849556       3.9898902       1.3537379
3.000       1.9163715       3.8772666       1.3824042
3.000       1.9477874       3.7931472       1.4200206
3.000       1.9792034       3.6694187       1.4412482
3.000       2.0106193       3.6001244       1.4824406
3.000       2.0734512       3.3770322       1.5250598
3.000       2.1362830       3.3184352       1.6390038
3.000       2.1991149       3.1468478       1.6954685
3.000       2.2619467       2.9932712       1.7549447
3.000       2.3247786       2.9251468       1.8619272
3.000       2.3876104       2.7397246       1.8891549
3.000       2.4504423       2.6374554       1.9660240
3.000       2.5132741       2.5651657       2.0630287
3.000       2.5761060       2.4717841       2.1407797
3.000       2.6389378       2.3614633       2.1985631
3.000       2.7017697       2.2749909       2.2729762
3.000       2.7646015       2.2568041       2.4158044
3.000       2.8274334       2.1463659       2.4578262
3.000       2.8902652       2.1045235       2.5741695
3.000       2.9530971       1.9983126       2.6071551
3.000       3.0159289       1.9857653       2.7596976
3.000       3.0787608       1.8842370       2.7856955
3.000       3.1415927       1.8645189       2.9287794
3.000       3.2044245       1.8106120       3.0181845
3.000       3.2672564       1.7549634       3.1009014
3.000       3.3300882       1.6878949       3.1577872
3.000       3.3929201       1.6387324       3.2426434
3.000       3.4557519       1.5991727       3.3434383
3.000       3.5185838       1.5876292       3.5036686
3.000       3.5814156       1.5202424       3.5379139
3.000       3.6442475       1.4932464       3.6612157
3.000       3.7070793       1.4521497       3.7478076
3.000       3.7699112       1.4370429       3.9006174
3.000       3.8327430       1.3926221       3.9722141
3.000       3.8955749       1.3552625       4.0589000
3.000       3.9584067       1.3233296       4.1581440
3.000       4.0212386       1.2978616       4.2754138
3.000       4.1469023       1.2421623       4.4876608
3.000       4.2725660       1.2049604       4.7611228
3.000       4.3982297       1.1415332       4.9203109
3.000       4.5238934       1.1058871       5.1870229
3.000       4.6495571       1.0537961       5.3661350
3.000       4.7752208       1.0163985       5.6067945
3.000       4.9008845      0.99587796       5.9388149
3.000       5.0265482      0.95205679       6.1255160
3.000       5.1522120      0.90569691       6.2752973
3.000       5.2778757      0.87373779       6.5077197
3.000       5.4035394      0.84865788       6.7832507
3.000       5.5292031      0.82127042       7.0330558
3.000       5.6548668      0.79701671       7.3013777
3.000       5.7805305      0.77402095       7.5740133
3.000       5.9061942      0.75195814       7.8485077
3.000       6.0318579      0.73871473       8.2129716
3.000       6.1575216      0.70856324       8.3804378
3.000       6.2831853      0.68211061       8.5716547
3.000       6.4088490      0.66053961       8.8086478
3.000       6.5345127      0.64478339       9.1143085
3.000       6.6601764      0.62068045       9.2895681
3.000       6.7858401      0.61318517       9.7067261
3.000       6.9115038      0.59930530       10.023884
3.000       7.0371675      0.59300555       10.469422
3.000       7.1628313      0.56990306       10.610245
3.000       7.2884950      0.56158799       11.015435
3.000       7.4141587      0.53319821       11.008916
3.000       7.5398224      0.52471583       11.394041
3.000       7.6654861      0.51252461       11.695104
3.000       7.7911498      0.50361453       12.066274
3.000       7.9168135      0.49563299       12.458958
3.000       8.0424772      0.47853596       12.611140
3.000       8.2938046      0.46721912       13.503684
3.000       8.5451320      0.43696295       13.812465
3.000       8.7964594      0.41638636       14.357885
3.000       9.0477868      0.41132108       15.433993
3.000       9.2991143      0.38824426       15.816124
3.000       9.5504417      0.38217015       16.865429
3.000       9.8017691      0.36933119       17.619746
3.000       10.053096      0.35730390       18.391094
3.000       10.304424      0.34298780       19.011662
3.000       10.555751      0.33235599       19.803467
3.000       10.807079      0.32839341       20.998566
3.000       11.058406      0.32073229       21.973061
3.000       11.309734      0.30575749       22.408071
3.000       11.561061      0.30015261       23.496624
3.000       11.812388      0.29966512       25.021861
3.000       12.063716      0.28293272       25.164987
3.000       12.315043      0.27710430       26.219316
3.000       12.566371      0.26917633       27.060556
3.000       12.817698      0.25934606       27.668144
3.000       13.069025      0.25295815       28.605434
3.000       13.320353      0.25053293       29.997307
3.000       13.571680      0.24410985       30.914086
3.000       13.823008      0.24143930       32.306199
3.000       14.074335      0.23039210       32.540297
3.000       14.325663      0.22561045       33.602657
3.000       14.576990      0.22004025       34.528360
3.000       14.828317      0.21498555       35.510366
3.000       15.079645      0.20677459       35.920366
3.000       15.330972      0.20614733       37.631978
3.000       15.582300      0.19883683       38.111999
3.000       15.833627      0.19151021       38.512651
3.000       16.084954      0.18928848       39.907447
3.000       16.587609      0.17396640       40.224163
3.000       17.090264      0.17472561       44.184825
3.000       17.592919      0.16445880       45.367105
3.000       18.095574      0.16121100       48.392938
3.000       18.598229      0.15343765       50.005403
3.000       19.100883      0.14734058       52.017919
3.000       19.603538      0.13957789       53.270928
3.000       20.106193      0.14081296       57.983232
3.000       20.608848      0.13336413       59.138519
3.000       21.111503      0.12853653       61.270901
3.000       21.614157      0.12210259       62.461164
3.000       22.116812      0.11865336       65.030623
3.000       22.619467      0.11711092       68.661735
3.000       23.122122      0.11065130       69.296265
3.000       23.624777      0.10777927       71.996046
3.000       24.127432      0.10369573       73.784378
3.000       24.630086      0.10104001       76.482387
3.000       25.132741     0.097629016       78.517914
3.000       25.635396     0.096059711       81.984477
3.000       26.138051     0.092440693       83.628257
3.000       26.640706     0.088541147       84.811077
3.000       27.143361     0.086656199       87.793172
3.000       27.646015     0.083682471       89.578212
3.000       28.148670     0.082285358       92.975060
3.000       28.651325     0.080022084       95.348584
3.000       29.153980     0.078243794       98.223116
3.000       29.656635     0.075950482       100.36133
3.000       30.159289     0.074211243       103.13434
3.000       30.661944     0.072513837       105.89860
3.000       31.164599     0.069954475       107.26805
3.000       31.667254     0.067678225       108.88058
3.000       32.169909     0.066695472       112.49056
3.000       33.175218     0.061832304       114.37393
3.000       34.180528     0.062463766       126.36731
3.000       35.185838     0.061709117       136.18312
3.000       36.191147     0.057027517       136.94992
3.000       37.196457     0.052990321       138.15657
3.000       38.201767     0.052357925       147.87782
3.000       39.207076     0.049243467       150.35305
3.000       40.212386     0.048037504       158.24508
3.000       41.217696     0.046255237       164.09007
3.000       42.223005     0.045166615       172.24048
3.000       43.228315     0.042773442       175.04486
3.000       44.233625     0.041279477       180.99311
3.000       45.238934     0.041410881       194.23246
3.000       46.244244     0.039698584       198.89246
3.000       47.249554     0.037111944       198.32483
3.000       48.254863     0.036546714       208.03761
3.000       49.260173     0.036598901       221.62875
3.000       50.265482     0.034486052       221.88263
3.000       51.270792     0.032805957       223.99228
3.000       52.276102     0.032788720       237.30359
3.000       53.281411     0.032165918       246.48664
3.000       54.286721     0.031516871       255.44311
3.000       55.292031     0.029265791       250.62140
3.000       56.297340     0.028971247       261.87925
3.000       57.302650     0.028429731       270.99865
3.000       58.307960     0.028700925       288.23697
3.000       59.313269     0.028365645       299.85998
3.000       60.318579     0.027611052       306.97748
3.000       61.323889     0.026179821       305.86233
3.000       62.329198     0.025770107       316.12665
3.000       63.334508     0.025297646       325.59039
3.000       64.339818     0.025085821       338.48392
3.000       66.350437     0.023579220       348.92417
3.000       68.361056     0.023302760       377.14114
3.000       70.371675     0.021874809       386.19638
3.000       72.382295     0.021179663       406.89875
3.000       74.392914     0.021521276       448.88283
3.000       76.403533     0.019860305       448.74177
3.000       78.414153     0.019629424       479.46971
3.000       80.424772     0.019722926       519.76988
3.000       82.435391     0.018667350       529.77813
3.000       84.446011     0.018362224       560.18691
3.000       86.456630     0.018891090       618.47506
3.000       88.467249     0.018326247       642.82294
3.000       90.477868     0.017244008       647.04660
3.000       92.488488     0.017288320       692.92479
3.000       94.499107     0.016601018       709.72170
3.000       96.509726     0.016223582       738.80575
3.000       98.520346     0.015195053       736.12277
3.000       100.53096     0.016273148       837.60909
3.000       102.54158     0.015490071       846.10397
3.000       104.55220     0.014715603       852.01628
3.000       106.56282     0.015900321       974.75012
3.000       108.57344     0.015301650       992.15461
3.000       110.58406     0.015167259       1039.0944
3.000       112.59468     0.014246346       1030.2138
3.000       114.60530     0.014446204       1101.6360
3.000       116.61592     0.013963834       1121.8853
3.000       118.62654     0.013321965       1126.6373
3.000       120.63716     0.013501085       1200.8319
3.000       122.64778     0.013707234       1281.1475
3.000       124.65840     0.013096515       1285.2589
3.000       126.66902     0.012705016       1308.1474
3.000       128.67964     0.012929903       1395.7094
3.000       132.70087     0.012077760       1429.8089
3.000       136.72211     0.013531445       1751.9863
3.000       140.74335     0.012433867       1756.1440
3.000       144.76459     0.011710573       1799.8464
3.000       148.78583     0.011167593       1863.4363
3.000       152.80707     0.011288958       2040.5837
3.000       156.82831     0.010645622       2080.2458
3.000       160.84954     0.010305687       2172.7347
3.000       164.87078     0.010032218       2277.7093
3.000       168.89202    0.0099781567       2435.2748
3.000       172.91326    0.0099748817       2612.5397
3.000       176.93450     0.010073383       2826.7223
3.000       180.95574    0.0091039901       2732.8708
3.000       184.97698    0.0089169675       2859.1732
3.000       188.99821    0.0082931155       2836.3582
3.000       193.01945    0.0081126395       2955.5321
3.000       197.04069    0.0089883604       3483.5216
3.000       201.06193    0.0084165942       3465.7417
3.000       205.08317    0.0083187622       3635.1223
3.000       209.10441    0.0079433596       3679.2902
3.000       213.12565    0.0077135068       3782.9383
3.000       217.14688    0.0085569713       4438.6525
3.000       221.16812    0.0070438236       3860.5246
3.000       225.18936    0.0064935156       3756.5896
3.000       229.21060    0.0071345621       4352.5290
3.000       233.23184    0.0062629266       4025.4190
3.000       237.25308    0.0069912450       4729.9913
3.000       241.27432    0.0064662435       4601.0356
3.000       245.29555    0.0063613608       4756.5199
3.000       249.31679    0.0060953826       4785.4835
3.000       253.33803    0.0056516878       4655.3206
3.000       257.35927    0.0059030589       5097.6125
3.000       265.40175    0.0054360530       5148.3169
3.000       273.44422    0.0050289969       5209.0424
3.000       281.48670    0.0051794763       5852.3428
3.000       289.52918    0.0051743141       6362.0937
3.000       297.57166    0.0044803991       5980.8325
3.000       305.61413    0.0041630258       6020.0440
3.000       313.65661    0.0036454640       5698.8392
3.000       321.69909    0.0044219899       7458.2595
3.000       329.74156    0.0038885485       7062.8318
3.000       337.78404    0.0032245053       6295.7972
3.000       345.82652    0.0031484008       6596.8280
3.000       353.86900    0.0034762249       7803.7918
3.000       361.91147    0.0039645622       9520.7805
3.000       369.95395    0.0028145432       7219.7338
3.000       377.99643    0.0027302687       7470.3118
3.000       386.03891    0.0034047883       9923.2423
3.000       394.08138    0.0033620186       10423.849
3.000       402.12386    0.0027722845       9132.4560
3.000       410.16634    0.0036439702       12738.700
3.000       418.20881    0.0029974187       11107.011
3.000       426.25129    0.0026392312       10354.874
3.000       434.29377    0.0026977413       11194.929
3.000       442.33625    0.0023878913       10469.897
3.000       450.37872    0.0026025227       12044.766
3.000       458.42120    0.0026409040       12888.932
3.000       466.46368    0.0027879150       14335.184
3.000       474.50615    0.0029990935       16232.515
3.000       482.54863    0.0025687537       14622.310
3.000       490.59111    0.0022281833       13328.467
3.000       498.63359    0.0026249371       16486.700
3.000       506.67606    0.0026624307       17544.449
3.000       514.71854    0.0028506308       19693.399
2.750     0.015707963       1270.3824   0.00024943900
2.750     0.031415927       3016.4733    0.0047382653
2.750     0.047123890       1532.1426    0.0081225584
2.750     0.062831853       1303.6565     0.016382231
2.750     0.078539816       972.48181     0.023868295
2.750     0.094247780       728.95078     0.030915897
2.750      0.10995574       599.54556     0.040378130
2.750      0.12566371       544.27115     0.054716104
2.750      0.14137167       387.33059     0.055442042
2.750      0.15707963       333.50655     0.065483858
2.750      0.17278760       294.92694     0.077076571
2.750      0.18849556       269.30978     0.091374654
2.750      0.20420352       234.30830      0.10107590
2.750      0.21991149       208.03688      0.11208677
2.750      0.23561945       182.89393      0.12120010
2.750      0.25132741       169.62864      0.13642344
2.750      0.26703538       145.57825      0.14043428
2.750      0.28274334       131.28776      0.15033899
2.750      0.29845130       118.10830      0.15906371
2.750      0.31415927       107.05582      0.16816288
2.750      0.32986723       98.013960      0.17822791
2.750      0.34557519       88.382746      0.18478445
2.750      0.36128316       83.969754      0.20060247
2.750      0.37699112       76.151285      0.20670018
2.750      0.39269908       71.078077      0.21806481
2.750      0.40840704       67.544343      0.23309820
2.750      0.42411501       62.542440      0.24171077
2.750      0.43982297       58.909230      0.25391440
2.750      0.45553093       54.947092      0.26312893
2.750      0.47123890       51.968053      0.27550539
2.750      0.48694686       47.801082      0.27961000
2.750      0.50265482       45.927098      0.29549411
2.750      0.51836279       43.190545      0.30476170
2.750      0.53407075       41.157994      0.31762951
2.750      0.54977871       39.307445      0.33090919
2.750      0.56548668       37.711233      0.34546824
2.750      0.58119464       35.464263      0.35271668
2.750      0.59690260       33.595430      0.36196025
2.750      0.61261057       32.123323      0.37414864
2.750      0.62831853       30.654231      0.38521243
2.750      0.64402649       29.250217      0.39583168
2.750      0.65973446       27.642153      0.40211440
2.750      0.67544242       27.102146      0.42309601
2.750      0.69115038       25.956570      0.43414541
2.750      0.70685835       25.313909      0.45292536
2.750      0.72256631       23.660901      0.45220427
2.750      0.73827427       23.244148      0.47384588
2.750      0.75398224       22.310622      0.48446820
2.750      0.76969020       21.756214      0.50257566
2.750      0.78539816       20.813265      0.51083438
2.750      0.80110613       20.071533      0.52278241
2.750      0.81681409       19.449387      0.53696482
2.750      0.83252205       18.726574      0.54741391
2.750      0.84823002       18.132642      0.56062473
2.750      0.86393798       17.600140      0.57495531
2.750      0.87964594       16.984002      0.58564440
2.750      0.89535391       16.481871      0.59932302
2.750      0.91106187       16.167821      0.61939166
2.750      0.92676983       15.516899      0.62573558
2.750      0.94247780       15.002646      0.63628473
2.750      0.95818576       14.572265      0.64945109
2.750      0.97389372       14.373745      0.67262790
2.750      0.98960169       13.929230      0.68387802
2.750       1.0053096       13.539175      0.69688642
2.750       1.0367256       13.093283      0.73911201
2.750       1.0681415       12.038498      0.74323976
2.750       1.0995574       11.684333      0.78691523
2.750       1.1309734       10.860470      0.79593209
2.750       1.1623893       10.451833      0.83160583
2.750       1.1938052       10.134572      0.87352651
2.750       1.2252211       9.7344700      0.90703910
2.750       1.2566371       9.3685447      0.94182884
2.750       1.2880530       8.8877965      0.96220044
2.750       1.3194689       8.5313040      0.99284892
2.750       1.3508848       8.3441418       1.0420941
2.750       1.3823008       7.9960917       1.0699308
2.750       1.4137167       7.8381091       1.1219376
2.750       1.4451326       7.3760999       1.1277690
2.750       1.4765485       7.1257653       1.1621039
2.750       1.5079645       6.9960641       1.2153388
2.750       1.5393804       6.7136786       1.2407054
2.750       1.5707963       6.5516668       1.2864168
2.750       1.6022123       6.2939339       1.3114526
2.750       1.6336282       6.0577548       1.3379553
2.750       1.6650441       5.8913857       1.3777326
2.750       1.6964600       5.7900565       1.4321350
2.750       1.7278760       5.6745098       1.4829834
2.750       1.7592919       5.4031064       1.4904845
2.750       1.7907078       5.3742611       1.5633752
2.750       1.8221237       5.1965841       1.5926554
2.750       1.8535397       5.0706270       1.6358278
2.750       1.8849556       4.9293204       1.6724790
2.750       1.9163715       4.8086023       1.7144635
2.750       1.9477874       4.6829110       1.7531168
2.750       1.9792034       4.5470622       1.7859628
2.750       2.0106193       4.4733728       1.8420223
2.750       2.0734512       4.2096789       1.9010811
2.750       2.1362830       4.1102840       2.0301047
2.750       2.1991149       3.9212718       2.1127151
2.750       2.2619467       3.7320952       2.1881147
2.750       2.3247786       3.6492962       2.3228660
2.750       2.3876104       3.4131999       2.3535443
2.750       2.4504423       3.2749959       2.4412623
2.750       2.5132741       3.2077725       2.5798437
2.750       2.5761060       3.1049708       2.6891743
2.750       2.6389378       2.9691480       2.7643281
2.750       2.7017697       2.8796460       2.8770958
2.750       2.7646015       2.8172016       3.0156839
2.750       2.8274334       2.7173343       3.1116481
2.750       2.8902652       2.6494402       3.2406899
2.750       2.9530971       2.5333338       3.3051856
2.750       3.0159289       2.5096538       3.4877664
2.750       3.0787608       2.3928397       3.5376243
2.750       3.1415927       2.3730444       3.7275694
2.750       3.2044245       2.3038226       3.8403377
2.750       3.2672564       2.2287402       3.9380329
2.750       3.3300882       2.1551355       4.0319213
2.750       3.3929201       2.0924357       4.1404093
2.750       3.4557519       2.0355933       4.2558759
2.750       3.5185838       2.0011393       4.4162258
2.750       3.5814156       1.9620855       4.5661729
2.750       3.6442475       1.9113870       4.6864337
2.750       3.7070793       1.8574310       4.7937854
2.750       3.7699112       1.8282576       4.9625056
2.750       3.8327430       1.7699595       5.0485039
2.750       3.8955749       1.7298320       5.1807051
2.750       3.9584067       1.6863610       5.2988554
2.750       4.0212386       1.6653268       5.4859173
2.750       4.1469023       1.5913828       5.7493179
2.750       4.2725660       1.5518464       6.1317625
2.750       4.3982297       1.4502581       6.2509969
2.750       4.5238934       1.4346173       6.7288900
2.750       4.6495571       1.3532448       6.8909865
2.750       4.7752208       1.3154788       7.2566219
2.750       4.9008845       1.2743908       7.5996974
2.750       5.0265482       1.2210370       7.8561297
2.750       5.1522120       1.1785208       8.1656109
2.750       5.2778757       1.1251160       8.3800197
2.750       5.4035394       1.1027500       8.8141877
2.750       5.5292031       1.0591723       9.0703594
2.750       5.6548668       1.0289881       9.4264406
2.750       5.7805305       1.0089864       9.8732167
2.750       5.9061942      0.96950057       10.119091
2.750       6.0318579      0.94776061       10.537127
2.750       6.1575216      0.90641694       10.720526
2.750       6.2831853      0.87570682       11.004456
2.750       6.4088490      0.85399082       11.388423
2.750       6.5345127      0.83075442       11.743094
2.750       6.6601764      0.81590350       12.211422
2.750       6.7858401      0.79661615       12.610440
2.750       6.9115038      0.77263642       12.922993
2.750       7.0371675      0.75939287       13.406964
2.750       7.1628313      0.73658223       13.713416
2.750       7.2884950      0.71281748       13.981771
2.750       7.4141587      0.69332200       14.314984
2.750       7.5398224      0.67526964       14.663270
2.750       7.6654861      0.66176545       15.100574
2.750       7.7911498      0.64358430       15.419857
2.750       7.9168135      0.63323223       15.917854
2.750       8.0424772      0.61577439       16.227865
2.750       8.2938046      0.59326691       17.146749
2.750       8.5451320      0.56238076       17.776941
2.750       8.7964594      0.53742688       18.531619
2.750       9.0477868      0.52275628       19.615374
2.750       9.2991143      0.49279820       20.075396
2.750       9.5504417      0.48562263       21.430857
2.750       9.8017691      0.47019148       22.431505
2.750       10.053096      0.45687180       23.516039
2.750       10.304424      0.43650351       24.195196
2.750       10.555751      0.42041219       25.050305
2.750       10.807079      0.39934695       25.535571
2.750       11.058406      0.39095365       26.783859
2.750       11.309734      0.38494868       28.211762
2.750       11.561061      0.36940130       28.917567
2.750       11.812388      0.36245999       30.265196
2.750       12.063716      0.34842283       30.989898
2.750       12.315043      0.34138083       32.301092
2.750       12.566371      0.32697546       32.871158
2.750       12.817698      0.32234550       34.389192
2.750       13.069025      0.31140947       35.215324
2.750       13.320353      0.30413884       36.415757
2.750       13.571680      0.29067852       36.811546
2.750       13.823008      0.28565781       38.222933
2.750       14.074335      0.27659860       39.066446
2.750       14.325663      0.26920133       40.095128
